comentarios,source,fecha,tiene_groseria,comentarios_censurados,etiqueta,etiqueta_predicha
"En lo que va del año, la flotilla Leona Vicario ha transportado a más de 2 millones de pasajeros. 
Ho… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"En lo que va del año, la flotilla Leona Vicario ha transportado a más de 2 millones de pasajeros. 
Ho… Ver más",neutral,neutral
"En lo que va del año, la flotilla Leona Vicario ha transportado a más de 2 millones de pasajeros.",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"En lo que va del año, la flotilla Leona Vicario ha transportado a más de 2 millones de pasajeros.",neutral,neutral
Ho… Ver más,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Ho… Ver más,neutral,neutral
"Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar?",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar?",neutral,neutral
"Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",neutral,neutral
"Este 8 de abril, recordamos el legado de #Ruta100, su auge llegó en los años 80s con estos vehículos color amarillo con café que recorrieron colonias del entonces Distr… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Este 8 de abril, recordamos el legado de #Ruta100, su auge llegó en los años 80s con estos vehículos color amarillo con café que recorrieron colonias del entonces Distr… Ver más",neutral,neutral
"El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",neutral,neutral
"La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido 
.… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido 
.… Ver más",neutral,neutral
"Esta mañana, en compañía de personal de la 
Secretaría de Movilidad CDMX
 y de #MIRTP 
 iniciamos con la prueba piloto para el inicio de un nuevo recorrido: Ruta 3, la cu… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Esta mañana, en compañía de personal de la 
Secretaría de Movilidad CDMX
 y de #MIRTP 
 iniciamos con la prueba piloto para el inicio de un nuevo recorrido: Ruta 3, la cu… Ver más",neutral,neutral
#MásMovilidad cómoda con #MIRTP … Ver más,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,#MásMovilidad cómoda con #MIRTP … Ver más,neutral,neutral
Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente.,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente.,neutral,neutral
"Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.",neutral,neutral
"Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",neutral,neutral
"¡Buenos días por la mañana! 
… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"¡Buenos días por la mañana! 
… Ver más",positivo_sugerencia,neutral
"Para el funcionamiento de este organismo es esencial la suma de esfuerzos de cada área 
N… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Para el funcionamiento de este organismo es esencial la suma de esfuerzos de cada área 
N… Ver más",neutral,neutral
Para el funcionamiento de este organismo es esencial la suma de esfuerzos de cada área,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Para el funcionamiento de este organismo es esencial la suma de esfuerzos de cada área,neutral,neutral
N… Ver más,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,N… Ver más,neutral,neutral
Eso es publicidad,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Eso es publicidad,neutral,neutral
El CC de universidad,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,El CC de universidad,neutral,neutral
Es de lo más nefasto … Ver más,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Es de lo más nefasto … Ver más,neutral,neutral
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.,neutral,neutral
#RTPaSuServicio,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,#RTPaSuServicio,neutral,neutral
"Aviso importante 
… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Aviso importante 
… Ver más",neutral,neutral
"En #MIRTP trabajamos para brindarte la mejor experiencia 
#… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"En #MIRTP trabajamos para brindarte la mejor experiencia 
#… Ver más",positivo_sugerencia,neutral
En #MIRTP trabajamos para brindarte la mejor experiencia,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,En #MIRTP trabajamos para brindarte la mejor experiencia,positivo_sugerencia,neutral
#… Ver más,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,#… Ver más,neutral,neutral
Cloro unidades limpias bonitas operadores respetuosos genial.....,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Cloro unidades limpias bonitas operadores respetuosos genial.....,neutral,neutral
"Lolyta Gonzalez
#RTPSiempreContigo",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Lolyta Gonzalez
#RTPSiempreContigo",neutral,neutral
"Recuerda que la #TarjetaMI 
 es tu pase de acceso a #MIRTP … Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Recuerda que la #TarjetaMI 
 es tu pase de acceso a #MIRTP … Ver más",neutral,neutral
"Ana G Salinas: Excelente compañero !!! Dedicado , respetuoso y excelente operador!!!! M6 || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Ana G Salinas
#RTPSiempreContigo",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Ana G Salinas: Excelente compañero !!! Dedicado , respetuoso y excelente operador!!!! M6 || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Ana G Salinas
#RTPSiempreContigo",positivo_sugerencia,neutral
RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Ya es #viernes!,rtp_cdmx_datos_20250412_200543.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Ya es #viernes!,neutral,neutral
RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original: RTP - Red de Transporte de Pasajeros de la Ciudad de México || Seguir: · 10 de abr,rtp_cdmx_datos_20250412_200543.csv,10 de abr,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original: RTP - Red de Transporte de Pasajeros de la Ciudad de México || Seguir: · 10 de abr,neutral,neutral
"Rogelio HuAl: Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar? || Liz Soria: Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Rogelio HuAl: Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar? || Liz Soria: Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",neutral,neutral
¡Buenas noticias para las y los vecinos del oriente de la Ciudad de México! ☀️: RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original || RTP - Red de Transporte de Pasajeros de la Ciudad de México: · 9 de abr,rtp_cdmx_datos_20250412_200543.csv,9 de abr,False,¡Buenas noticias para las y los vecinos del oriente de la Ciudad de México! ☀️: RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original || RTP - Red de Transporte de Pasajeros de la Ciudad de México: · 9 de abr,neutral,neutral
🚫 NO RAYES LAS UNIDADES 🚫: Cuidar la unidades es responsabilidad de todas y todos 🤝🏻 || RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original: RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original || RTP - Red de Transporte de Pasajeros de la Ciudad de México: · 9 de abr,rtp_cdmx_datos_20250412_200543.csv,9 de abr,False,🚫 NO RAYES LAS UNIDADES 🚫: Cuidar la unidades es responsabilidad de todas y todos 🤝🏻 || RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original: RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original || RTP - Red de Transporte de Pasajeros de la Ciudad de México: · 9 de abr,neutral,neutral
"Jose Villa: El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Jose Villa: El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",neutral,neutral
RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido || 274: 43 veces compartido,rtp_cdmx_datos_20250412_200543.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido || 274: 43 veces compartido,neutral,neutral
"RTP - Red de Transporte de Pasajeros de la Ciudad de México: Esta mañana, en compañía de personal de la || Secretaría de Movilidad CDMX: y de #MIRTP || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Organización gubernamental || Enviar mensaje: 39 veces compartido",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"RTP - Red de Transporte de Pasajeros de la Ciudad de México: Esta mañana, en compañía de personal de la || Secretaría de Movilidad CDMX: y de #MIRTP || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Organización gubernamental || Enviar mensaje: 39 veces compartido",neutral,neutral
"Ing Miguel Borita: Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente. || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Ing Miguel Borita: Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente. || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",neutral,neutral
RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Buenos días por la mañana! || 109: 3 veces compartido,rtp_cdmx_datos_20250412_200543.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Buenos días por la mañana! || 109: 3 veces compartido,positivo_sugerencia,neutral
"Ignacio Tellez: Eso es publicidad
El CC de universidad
Es de lo más nefasto … Ver más || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Ignacio Tellez: Eso es publicidad
El CC de universidad
Es de lo más nefasto … Ver más || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",neutral,neutral
RTP - Red de Transporte de Pasajeros de la Ciudad de México: #RTPaSuServicio || Héctor Ulises García Nieto: Aviso importante,rtp_cdmx_datos_20250412_200543.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: #RTPaSuServicio || Héctor Ulises García Nieto: Aviso importante,neutral,neutral
"Lolyta Gonzalez: Cloro unidades limpias bonitas operadores respetuosos genial..... || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Lolyta Gonzalez
#RTPSiempreContigo",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Lolyta Gonzalez: Cloro unidades limpias bonitas operadores respetuosos genial..... || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Lolyta Gonzalez
#RTPSiempreContigo",neutral,neutral
RTP - Red de Transporte de Pasajeros de la Ciudad de México: Recuerda que la #TarjetaMI,rtp_cdmx_datos_20250412_200543.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: Recuerda que la #TarjetaMI,neutral,neutral
RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido || 275: 43 veces compartido,rtp_cdmx_datos_20250412_210737.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido || 275: 43 veces compartido,neutral,neutral
No hay comentarios,rtp_cdmx_datos_20250412_213018.csv,10 de abr,False,No hay comentarios,neutral,neutral
¡Buenas noticias para las y los vecinos del oriente de la Ciudad de México! ☀️: RTP - Red de Transporte de Pasajeros de la Ciudad de México,rtp_cdmx_datos_20250412_213018.csv,9 de abr,False,¡Buenas noticias para las y los vecinos del oriente de la Ciudad de México! ☀️: RTP - Red de Transporte de Pasajeros de la Ciudad de México,neutral,neutral
🚫 NO RAYES LAS UNIDADES 🚫: Cuidar la unidades es responsabilidad de todas y todos 🤝🏻,rtp_cdmx_datos_20250412_213018.csv,9 de abr,False,🚫 NO RAYES LAS UNIDADES 🚫: Cuidar la unidades es responsabilidad de todas y todos 🤝🏻,neutral,neutral
RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido,rtp_cdmx_datos_20250412_213018.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido,neutral,neutral
"RTP - Red de Transporte de Pasajeros de la Ciudad de México: Esta mañana, en compañía de personal de la || Secretaría de Movilidad CDMX: y de #MIRTP || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Organización gubernamental || Enviar mensaje: 226 226",rtp_cdmx_datos_20250412_213018.csv,No disponible,False,"RTP - Red de Transporte de Pasajeros de la Ciudad de México: Esta mañana, en compañía de personal de la || Secretaría de Movilidad CDMX: y de #MIRTP || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Organización gubernamental || Enviar mensaje: 226 226",neutral,neutral
RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Buenos días por la mañana!,rtp_cdmx_datos_20250412_213018.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Buenos días por la mañana!,positivo_sugerencia,neutral
¡Qué tu día sea tan súper como nuestras ofertas!   Visita 7-Eleven y descubre más promos en tus antojos favoritos.,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,¡Qué tu día sea tan súper como nuestras ofertas!   Visita 7-Eleven y descubre más promos en tus antojos favoritos.,neutral,neutral
que día están??,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,que día están??,neutral,neutral
Y esa jitomata que hace en la tribuna???? Jajajajajajaj,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Y esa jitomata que hace en la tribuna???? Jajajajajajaj,neutral,neutral
Hola como puedo platicar con la licenciada clara brugada?,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Hola como puedo platicar con la licenciada clara brugada?,neutral,neutral
Actualmente es un tianguis de productos chinos.,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Actualmente es un tianguis de productos chinos.,neutral,neutral
3 pesos de sombra / árboles que les sobren para ponerlos en el zócalo,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,3 pesos de sombra / árboles que les sobren para ponerlos en el zócalo,neutral,neutral
Darán la peor versión de México y de la CDMX,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Darán la peor versión de México y de la CDMX,negativo,neutral
Deberían dejarnos llevar a nuestro perrito al trabajo tmb,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Deberían dejarnos llevar a nuestro perrito al trabajo tmb,neutral,neutral
La explanada del Zócalo y Madero ya son un tianguis. Pero pues pagan $300 diarios en efectivo y un pago por temporada de $25 000 el m2 por puesto…cuánto le hacen llegar al @GobCDMX ?,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,La explanada del Zócalo y Madero ya son un tianguis. Pero pues pagan $300 diarios en efectivo y un pago por temporada de $25 000 el m2 por puesto…cuánto le hacen llegar al @GobCDMX ?,neutral,neutral
Cuidado con los excesos,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Cuidado con los excesos,neutral,neutral
Que el director del Metro asista al Zócalo ciudadano,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Que el director del Metro asista al Zócalo ciudadano,neutral,neutral
"Buscaban su magia y poder curativo, pero nunca esperaron que fueran criaturas tan peligrosas. #LaMuerteDeUnUnicornio 
Con Paul Rudd, Jenna Ortega, Will Pouter, Téa Leoni y Richard E Grant.
Estreno 5 de junio, solo en cines.",rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,"Buscaban su magia y poder curativo, pero nunca esperaron que fueran criaturas tan peligrosas. #LaMuerteDeUnUnicornio 
Con Paul Rudd, Jenna Ortega, Will Pouter, Téa Leoni y Richard E Grant.
Estreno 5 de junio, solo en cines.",neutral,neutral
Convertir a la cdmex en un tianguis gigante no es como que muy bueno,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Convertir a la cdmex en un tianguis gigante no es como que muy bueno,positivo_sugerencia,neutral
Me caga que uses los perritos para limpiar tu imagen cuando tú no has querido hacer nada por el bienestar animal. Maldita miserable,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Me caga que uses los perritos para limpiar tu imagen cuando tú no has querido hacer nada por el bienestar animal. Maldita miserable,negativo,neutral
Le fascina la pose y la foto! Gordinflona miserable,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Le fascina la pose y la foto! Gordinflona miserable,neutral,neutral
Pinches populistas que asco  lo peor son la gente que se prestan a esas pendejadas.,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,True,Pinches populistas que asco  lo peor son la gente que se prestan a esas *******das.,negativo,neutral
"Una vuelta por la ciudad para ubicarse en las necesidades reales.    Delincuencia, baches, comercio informal, franeleros, autos estacionados en lugares prohibidos.",rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,"Una vuelta por la ciudad para ubicarse en las necesidades reales.    Delincuencia, baches, comercio informal, franeleros, autos estacionados en lugares prohibidos.",negativo,neutral
Iztapalapeando la CDMX…,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Iztapalapeando la CDMX…,neutral,neutral
